"","MS01","MS02","MS05","MS07","MS08","MS09","MS10","MS11","MS13","MS14","MS15","MS16","MS17","MS20","MS21","MS22","MS23","MS24","MS25","MS26","MS27","MS28","MS19","MS30","MS32","MS33","MS34","MS29","MS37","MS38","MS39","MS40","MS42","MS43","MS45","MS47","MS50","MS51","MS54","MS55","MS57","MS58","MS59","MS63","MS65","MS66","MS67","MS68"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",1.34667585651991,1.29491962887657,-0.0179330788764209,0.271391584158383,1.4639294389119,1.26748061295137,0.493895800910796,1.44839824679036,0.529653862950098,0.239057994324054,0.995529092996843,0.83645544095018,-0.7186527323334,-0.868006417818472,1.18833725532532,1.02492247942286,-0.415362103109123,-0.078432087830944,-2.06319910329655,-1.24208676792636,-0.372521609918627,-0.0586894867098499,-0.429172411471097,0.926226769131556,0.381605973684597,0.323044039916725,-0.445914275584298,0.283472361103704,-0.821776043051337,0.282477880539129,0.182839575625747,0.477517138395092,-1.61486996947175,-1.10343888191037,1.05999737655258,-0.221239496903985,-0.25877897630244,-0.895921054883252,1.04002993634733,1.13591515808657,0.327886727883354,1.17006475590838,-1.38697826235647,-0.854317176655664,-2.26302916317665,-1.7851682804125,-0.89336999604369,-1.18286761222016
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",1.32882789334822,1.30284940825767,0.146981067665095,0.183620235966574,1.44918431390794,1.18275435660282,0.509024522535158,1.39610266540891,0.443919904411907,0.287447053360454,1.09243159929412,0.821138596304373,-0.800560415202925,-0.8634711185792,1.25627822157097,0.978292590562469,-0.444140351922583,-0.0721490381276043,-1.97847878704309,-1.23213591903941,-0.167936781629137,0.053601086196344,-0.485626725369005,0.774876300141611,0.377278753938789,0.245287456977235,-0.415920430465996,0.2082839562629,-0.888483330748692,0.391376834262315,0.195904574495669,0.412959569589062,-1.67979749093044,-1.22142771420941,1.13816323737729,-0.255574567460496,-0.172989913790041,-0.954387896126256,1.0429853546538,1.12827874061113,0.253849268679331,1.30998557138773,-1.35010833837589,-0.81003305793716,-2.20245609798073,-1.78369559075293,-0.852588667812613,-1.27972090026624
"ARO-PWY: chorismate biosynthesis I",1.05865574197663,1.36933293312227,0.104474298654906,0.33643733717285,1.62544606741766,0.686634780955161,0.40626627583535,1.51190692924865,0.561515387618236,0.219792585117898,1.06689877815525,0.903764565353482,-0.957614067822349,-0.78891080503529,0.397444226898342,0.577432974721765,-0.459063027834409,0.00656850496257233,-2.2813319810568,-1.1285912716242,-1.64773411080162,-0.117150730249503,-0.300371422015242,1.0732573909929,0.463483263869526,0.537923249589794,-0.144974925166583,-0.0752091515322719,-0.524817822178744,0.124287062496731,-0.374306087510002,0.457208871069459,-1.91542750026492,-0.462094949187462,0.908080842279702,0.398570669901039,-0.485866054795772,-1.36368097903748,1.40712667498845,1.22476923860796,0.199169203414319,1.55820689491089,-1.58543233799827,-0.669181494103795,-2.09577418324808,-1.1834395711013,-0.684298990850267,0.06061671408262
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",-0.628545142990055,-0.077864105533259,-0.658045912853812,0.598745591341963,-0.55929067045275,-0.571137106112325,-0.365910712774405,-0.561848661869507,0.152229319118389,-0.899021284598061,-0.945421571526629,1.32290876799757,1.20654112567784,-1.04057046537292,-1.65056754969863,-0.336347041482368,0.104130693626237,0.435558319238465,-0.166932527979058,0.59046356995164,0.676072413841988,-1.11137650647449,0.24748304867848,-0.932107435873831,0.0805007237353665,0.673954732423196,0.74912193921891,-0.176367742221198,-0.234341891953457,-1.14247077918803,-1.05755385100877,-0.739398426763817,2.10479448867231,2.80740344257032,-0.603971651674972,1.26321531255896,-0.562393807581276,1.33387458366121,-0.954227771485959,-0.981191517075718,-0.237193423368859,0.370077932398016,-0.2656458360946,-0.770597535191159,2.04329785895632,1.9770626549765,-1.05317171817186,0.546076128728063
"AST-PWY: L-arginine degradation II (AST pathway)",-0.320154689300795,-0.320154689300795,0.199152403884161,0.0722420798428907,-0.320154689300795,-0.320154689300795,-0.275990703517562,-0.320154689300795,-0.320154689300795,-0.287136974580644,-0.320154689300795,-0.320154689300795,-0.320154689300795,-0.304947948127316,-0.320154689300795,-0.320154689300795,-0.320154689300795,-0.320154689300795,1.64587629907939,-0.320154689300795,6.07764423790369,-0.320154689300795,-0.285582064815402,-0.30766650311044,0.22461883511044,-0.262599063033318,-0.320154689300795,-0.320154689300795,-0.320154689300795,-0.320154689300795,-0.320154689300795,-0.302805774730521,0.869672240308272,-0.300999599763771,-0.118177816445133,-0.320154689300795,-0.320154689300795,-0.320154689300795,-0.214465576146949,-0.320154689300795,-0.273702661806704,-0.320154689300795,0.372024085223099,-0.320154689300795,1.62954100422712,0.182026021025198,-0.320154689300795,0.305454090594967
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",-1.43083874093797,-1.44843557368292,-0.133537726308541,0.796544579594416,-0.948943515332833,0.0390421108004229,-0.313548925140954,0.0815956826125766,0.162133441371505,-0.456442803867307,-0.859359126702571,-1.57373261966433,-0.910190242620651,-0.524513475524398,-1.27253682122935,-0.27147485667887,1.03734928159461,0.418978000532888,0.71739832075334,-0.131301924413506,1.21164404833206,-0.945024750699314,0.133588889002592,0.813336598873361,0.37221232086129,1.47255028292934,0.215875424685308,-0.0506344176892642,0.547428486192995,-1.00154597303823,-0.858606964584813,-0.224790034434931,1.11391938518237,-1.16562261740594,-0.312618124520228,1.33701066930936,0.0211406523977844,-0.191459850591784,0.126161288089733,-0.885350088681696,0.533381858643867,-1.55664537675416,0.00938435849722836,-1.07469561939548,2.2999098084101,2.74951471429989,0.485412719583856,1.84633724734913
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.461103044585445,1.24005022346915,0.564058003982241,0.391281339882722,2.34332640879683,1.51472305928981,-0.104668406501106,1.44342488003022,-0.312977596449619,0.0429013399991406,0.818371032755474,0.50995298239151,-0.441974847208129,-1.45762421031498,0.920510045686628,0.811309210368318,-0.604377334815924,0.0486906744458328,-1.38387819165846,-0.790277137904505,-0.31519230828493,-0.682271081339455,-1.2379500517379,1.3458901364409,-0.157073539621751,-0.0248125030006766,0.376953708491998,-0.251937029900938,-0.868831412519269,0.0119633698435793,-0.55752840858036,0.239680429296271,-1.17483076443151,-0.394057419648511,0.890999981845939,0.489933153038099,-0.447861318138826,-0.726817872904103,1.38149065782869,2.14173906354146,0.21012179721358,0.99088542834818,-0.206117750395826,-1.32408097210504,-1.78827680186767,-0.54029639631789,-1.66283474642374,-1.73281186950087
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.884799008166389,1.95454495173027,0.168466924575191,-0.501122187487648,1.45975824608069,0.481782348935807,0.147389385734493,1.16623039571256,0.137568615616455,0.348100614429422,1.60366234353522,1.46338475103134,-0.478961564953636,-0.909383892469003,1.09371246617923,0.97004621346609,-0.403754180406576,0.138542173992469,-0.904942032378441,-0.95095483512479,0.215806200608858,-0.0836116779341629,-0.552039290553166,-1.717778089992,0.552414009115602,0.223825887731271,0.0651723808801345,-0.872765928051188,-0.896228684913118,0.470002292586041,-0.77858632465156,0.176839526608909,-1.55396472374799,-0.86870132183133,1.63462149989246,0.603355451140521,0.0104462306684629,-1.66030163736809,0.714487139762488,0.681897273125428,-0.108096671090908,2.09799877843589,-1.35103864974763,-0.585371495451936,-1.73448678562034,-1.26782374755786,-1.07144485363619,-0.213496534774094
"CARNMET-PWY: L-carnitine degradation I",-0.296265958710757,-0.296265958710757,0.200904737373216,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.0488181765940049,-0.296265958710757,5.77301130537164,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.0621745388691144,0.0396653743124169,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,2.35915176021175,-0.296265958710757,-0.222965140002962,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,-0.296265958710757,0.612249145432943,-0.296265958710757,0.490343081875618,2.02578087594945,-0.296265958710757,-0.20530795276296
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,0.817299727628886,-0.29625348689817,-0.29625348689817,2.13367210849762,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,-0.29625348689817,4.08849050584774,4.43842454401184,-0.29625348689817,-0.29625348689817,1.26101305063522,-0.29625348689817,-0.29625348689817
