"","MS01","MS02","MS05","MS07","MS08","MS09","MS10","MS11","MS13","MS14","MS15","MS16","MS17","MS20","MS21","MS22","MS23","MS24","MS25","MS26","MS27","MS28","MS19","MS30","MS32","MS33","MS34","MS29","MS37","MS38","MS39","MS40","MS42","MS43","MS45","MS47","MS50","MS51","MS54","MS55","MS57","MS58","MS59","MS63","MS65","MS66","MS67","MS68"
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.519794278301314,-0.365691689481265,-0.185274861395721,0.836460570074375,1.06502762714105,1.05519661388855,-0.475498238865813,1.11459374457509,-0.129075247957812,0.672871484458086,-0.220649979549871,0.450574686796889,-1.03914245309174,-0.764824717465739,1.06604985600796,1.21691039420477,-0.114670787670695,0.355632066442818,-1.0507289526456,-0.895829456334465,1.20925671951155,0.867477192641192,-0.471661307223839,2.22715991779408,2.20097827204617,1.26021422521667,1.70507066180078,-0.249018444133539,-0.83410664021491,-0.550145546529238,0.452600301275418,-0.205784240340442,-1.16201365649239,-0.736889543342596,0.0447860255717682,-0.553962230471062,-0.365790343833031,-1.24464103685569,0.513909484800403,1.09664350289923,-0.0332785960634787,-0.0199184670717853,-1.36958298147441,-0.941393638106697,-1.71072659780816,-1.31838548754914,-1.4376151496272,-1.48490733385184
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.552038990392535,-0.305736378883913,-0.07134025035321,0.74771580274833,1.09407691087613,1.02378224817134,-0.433381168438245,1.11459012512658,-0.154296352179321,0.70292504573267,-0.124416289787455,0.46525258262934,-1.07846690182875,-0.778986379148881,1.1459107303845,1.19696277085634,-0.157168521382337,0.342263958413186,-1.07546305725827,-0.92299303853443,1.36239349359543,0.937376493607469,-0.515128068323881,2.06296964249977,2.15106065568749,1.16405482336477,1.64122110554458,-0.274964164210801,-0.886501594690362,-0.463047055889559,0.45639019426641,-0.217625344701639,-1.2495006200452,-0.855515941747385,0.131674705089035,-0.567028731393963,-0.310703679233967,-1.26680384395451,0.548089285502166,1.11613329137172,-0.0661418601266741,0.103923207560194,-1.3600580662169,-0.921675784679558,-1.71905604100636,-1.36110701488743,-1.40089477954877,-1.5228051349682
"ARO-PWY: chorismate biosynthesis I",0.215479230694782,-0.559631398997157,-0.129182012527826,0.959734235564643,1.03129739683854,0.603785620717865,-0.649915329698814,1.03002071930335,-0.212435420507122,0.722158914723263,-0.364529216481822,0.405346547222893,-1.17819268401986,-0.660066614912604,0.492811980739022,0.880779364475206,-0.0521540784512785,0.501682612856307,-0.821869960554663,-0.704254821418716,0.382798052277964,0.990151328618042,-0.377859436009621,2.43400791663685,2.50915816433465,1.54928799327467,2.46515538678401,-0.501355238916648,-0.6472909100785,-0.735439754841971,0.138205046214061,-0.315944509483082,-1.1718784712234,-0.231391110971086,-0.184050878480502,-0.280932652256644,-0.480143742021068,-1.48511465837872,0.605264852819868,1.08153704316812,-0.154574846499995,-0.0231997888875885,-1.43345807057386,-0.83346893515584,-1.4676634884195,-0.833809221655154,-1.45371480471642,-1.05514035112461
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",-0.671925259415013,-0.966416045800673,-0.584647888122758,1.1059782863437,-0.330595453471101,-0.256469884897276,-0.893465783462252,-0.294204960932815,-0.332313145332651,-0.233412196634005,-1.18836015698175,0.780766775274442,-0.0127357141595758,-0.862786073519609,-0.999263251777706,0.155708415983627,0.267290904926695,0.758443381672158,0.552018727812822,0.330901595067796,2.30765615249998,-0.0876075022511377,-0.0317891913278571,0.369490272545263,1.84861628329446,1.57335421491349,3.13189633291808,-0.50267199855228,-0.468630067816244,-1.26667092760986,-0.482927421438758,-0.881688046080623,1.29315450210843,1.95500936335552,-0.858475470534985,0.322048294165104,-0.54734794345958,-0.132590407757435,-0.760784478365938,-0.470293328695634,-0.374716390607081,-0.425105766063079,-0.757440967954063,-0.878915019980969,0.861231881209977,1.09662651244325,-1.48259624718971,-0.673344906342371
"AST-PWY: L-arginine degradation II (AST pathway)",-0.267244967314322,-0.267244967314322,0.0602218988508278,0.0525258759796734,-0.267244967314322,-0.267244967314322,-0.24512135423658,-0.267244967314322,-0.267244967314322,-0.241341073943025,-0.267244967314322,-0.267244967314322,-0.267244967314322,-0.257816398898499,-0.267244967314322,-0.267244967314322,-0.267244967314322,-0.267244967314322,1.37384856865459,-0.267244967314322,6.43689898198308,-0.267244967314322,-0.24565445748706,-0.255029697633493,0.325870859219207,-0.215564884741332,-0.267244967314322,-0.267244967314322,-0.267244967314322,-0.267244967314322,-0.267244967314322,-0.257538165512155,0.503396407602974,-0.254295747319214,-0.157267532714255,-0.267244967314322,-0.267244967314322,-0.267244967314322,-0.200155119537688,-0.267244967314322,-0.238652920906087,-0.267244967314322,0.0944801412391764,-0.267244967314322,0.873863739004831,0.0489067876135277,-0.267244967314322,0.0140382102682113
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",-1.27507951989959,-1.3687090194918,-0.234181832379394,1.11545811510761,-0.817668971476712,0.0820471346580569,-0.62868801450495,0.0897928882498977,-0.15642142084877,-0.2170852906581,-0.971154864561081,-1.36518631603654,-0.985174300500179,-0.560725416661228,-1.06837355967641,-0.0660489711731057,0.998199230716152,0.598930662000734,1.09880299070661,-0.179843620822966,2.4375977145985,-0.578533582450125,-0.0384705752344262,1.68069390201394,1.45049177782913,2.15262358032899,1.52362791126238,-0.297005901407789,0.184938122203669,-1.05252055977877,-0.662114555130752,-0.452505445425237,0.814915624441219,-1.00934991976093,-0.543260319986647,0.69008615147501,-0.127657175955182,-0.591389180266105,-0.0185857219755985,-0.704428482504808,0.247223757962236,-1.40061338179772,-0.375187289424092,-1.04211287134663,1.45120416068057,2.03685164054413,-0.353096685542965,0.487687401899782
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",-0.0659947648667639,-0.4736222482953,0.13292313882561,0.891644525377561,1.47872236115974,1.09840332429737,-0.791036356567467,0.98465757060757,-0.610415397854651,0.504665316386471,-0.375256578458822,0.185242955703767,-0.88498422168162,-1.04517131038899,0.784399073053786,0.969657071972073,-0.212486129966934,0.441820665086433,-0.348999259417281,-0.548511699634188,1.30855146515531,0.371002202484323,-0.908442177299892,2.49009602680559,1.62729434664929,0.941355109421053,2.65874511022457,-0.559267683215355,-0.817624794608184,-0.707445247047644,-0.0687041107008837,-0.37170869616737,-0.797864166370759,-0.231390254149184,-0.120401468566231,-0.188938613283318,-0.466697703460609,-1.13952327486999,0.619793595830939,1.65236838431119,-0.135376226111084,-0.190919697263849,-0.747769078985138,-1.13996948799749,-1.32294333203792,-0.497313185413789,-1.70748551380721,-1.66507956486471
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.162792129920653,-0.273325354573871,-0.0850905915763168,0.345943327909925,1.00170869695893,0.503648433184145,-0.75446258129354,0.878768676069134,-0.41313036417928,0.82907528027867,-0.0770649995057332,0.78307938978184,-0.979088635899117,-0.759474041183874,0.978276804812474,1.19264712020986,-0.034965111735129,0.598350419821284,0.121343271785729,-0.64281358016537,2.08401379589653,1.01281714850593,-0.53394596922931,-0.030366944405407,2.63401517269964,1.32113661236673,2.68902840046694,-0.927189165218231,-0.869450344964126,-0.565674383880609,-0.157879136077045,-0.442368161570246,-1.03414998181784,-0.505113452671125,0.218401680523183,-0.154841528918525,-0.210279908120081,-1.65891607179507,0.258176525074414,0.774243086156274,-0.319837635331096,0.294319037975714,-1.37200423843808,-0.812088025690808,-1.3499704203492,-0.930097202966824,-1.62291941154597,-1.16527776729618
"CARNMET-PWY: L-carnitine degradation I",-0.252053821046593,-0.252053821046593,0.0739676061136703,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.0372586683866299,-0.252053821046593,6.36171851227745,-0.252053821046593,-0.252053821046593,-0.252053821046593,0.0129831625585638,0.0616241079464256,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,1.53648831057953,-0.252053821046593,-0.21054811740205,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,-0.252053821046593,0.241676818245331,-0.252053821046593,0.226705214760343,1.26815992345414,-0.252053821046593,-0.209525491422827
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,1.88418535165382,-0.31559607367653,-0.31559607367653,2.21606664145043,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,-0.31559607367653,3.83322796384993,4.17387682224516,-0.31559607367653,-0.31559607367653,1.46327438889143,-0.31559607367653,-0.31559607367653
